prov,total,week
Alberta,679,21-03-2021
British Columbia,427,21-03-2021
Manitoba,51,21-03-2021
New Brunswick,0,21-03-2021
Newfoundland and Labrador,90,21-03-2021
Northwest Territories,0,21-03-2021
Nova Scotia,2,21-03-2021
Nunavut,0,21-03-2021
Ontario,251,21-03-2021
Prince Edward Island,0,21-03-2021
Quebec,191,21-03-2021
Saskatchewan,85,21-03-2021
Yukon,0,21-03-2021
Canada,1776,21-03-2021
Alberta,1462,28-03-2021
British Columbia,572,28-03-2021
Manitoba,46,28-03-2021
New Brunswick,0,28-03-2021
Newfoundland and Labrador,0,28-03-2021
Northwest Territories,0,28-03-2021
Nova Scotia,0,28-03-2021
Nunavut,0,28-03-2021
Ontario,338,28-03-2021
Prince Edward Island,0,28-03-2021
Quebec,163,28-03-2021
Saskatchewan,337,28-03-2021
Yukon,0,28-03-2021
Canada,2918,28-03-2021
Alberta,3230,05-04-2021
British Columbia,1105,05-04-2021
Manitoba,126,05-04-2021
New Brunswick,22,05-04-2021
Newfoundland and Labrador,0,05-04-2021
Northwest Territories,1,05-04-2021
Nova Scotia,5,05-04-2021
Nunavut,0,05-04-2021
Ontario,510,05-04-2021
Prince Edward Island,0,05-04-2021
Quebec,829,05-04-2021
Saskatchewan,457,05-04-2021
Yukon,0,05-04-2021
Canada,6285,05-04-2021
Alberta,4368,12-04-2021
British Columbia,311,12-04-2021
Manitoba,129,12-04-2021
New Brunswick,0,12-04-2021
Newfoundland and Labrador,0,12-04-2021
Northwest Territories,0,12-04-2021
Nova Scotia,5,12-04-2021
Nunavut,0,12-04-2021
Ontario,12252,12-04-2021
Prince Edward Island,2,12-04-2021
Quebec,6,12-04-2021
Saskatchewan,483,12-04-2021
Yukon,1,12-04-2021
Canada,17557,12-04-2021
Alberta,5787,19-04-2021
British Columbia,776,19-04-2021
Manitoba,257,19-04-2021
New Brunswick,152,19-04-2021
Newfoundland and Labrador,0,19-04-2021
Northwest Territories,0,19-04-2021
Nova Scotia,40,19-04-2021
Nunavut,0,19-04-2021
Ontario,19725,19-04-2021
Prince Edward Island,0,19-04-2021
Quebec,1124,19-04-2021
Saskatchewan,483,19-04-2021
Yukon,0,19-04-2021
Canada,28344,19-04-2021
Alberta,7301,26-04-2021
British Columbia,183,26-04-2021
Manitoba,237,26-04-2021
New Brunswick,0,26-04-2021
Newfoundland and Labrador,0,26-04-2021
Northwest Territories,0,26-04-2021
Nova Scotia,10,26-04-2021
Nunavut,0,26-04-2021
Ontario,18286,26-04-2021
Prince Edward Island,4,26-04-2021
Quebec,777,26-04-2021
Saskatchewan,229,26-04-2021
Yukon,0,26-04-2021
Canada,27027,26-04-2021
Alberta,7812,03-05-2021
British Columbia,-2,03-05-2021
Manitoba,583,03-05-2021
New Brunswick,0,03-05-2021
Newfoundland and Labrador,9,03-05-2021
Northwest Territories,5,03-05-2021
Nova Scotia,0,03-05-2021
Nunavut,21,03-05-2021
Ontario,19915,03-05-2021
Prince Edward Island,3,03-05-2021
Quebec,378,03-05-2021
Saskatchewan,353,03-05-2021
Yukon,0,03-05-2021
Canada,29077,03-05-2021
